Year,Month,Taylor_River,Mud_Creek,McCormick_Creek,Trout_Creek,West_Highway_Creek,Barron_River,Turner_River,Lopez_River,Chatham_River,Lostmans_River,Broad_River,Shark_River,North_River,East_Side_Creek,Joe_Bay_2E
2014,5,29.84,32.07,35.48,33.83,36.08,34.75,38.61,39.27,38.86,35.12,25.18,24.51,22.5,39.68,31.12
2014,6,34.44,36.58,37.5,37.82,38.76,30.73,36.12,37.53,33.07,31.88,14.19,19.37,18.58,38.95,32.94
2014,7,28.32,31.68,36.5,31.61,33.77,17.93,26.16,29.17,23.69,17.25,3.82,11.67,5.91,34.27,19.09354839
2014,8,22.58,19.04,32.05,20.09,21.92,9.06,11.42,13.51,14.39,10.95,3.11,12.06,4.15,31.83,8.938709677
2014,9,21.74,18.46,29.57,21.45,23.48,6.8,10.17,11.67,12.99,8.24,1.68,11.46,3.54,31.73,11.04333333
2014,10,21.85,15.58,24.19,19.52,23.16,7.36,10.57,12.26,13.25,8.9,2.03,12.1,3.31,34.53,8.593548387
2014,11,22.37,18.58,24.18,19.14,24.05,16,18.36,20.29,19.37,15.47,7.1,8.75,6.54,33.48,9.52
2014,12,24.46,24.25,30.6,25.52,29.31,22.6,26.09,27.6,25.06,18.73,7.7,13.27,9.21,34.19,16.00333333
2015,1,20.98,22.56,27.16,25.23,26.75,24.78,28.57,30.46,28.98,21.14,9.23,16.99,9.97,34.56,11.54516129
2015,2,25.31,27.81,31.46,27.89,30.33,30.87,32.97,33.91,32.85,28.11,16.48,22.15,14.71,37.76,20.10714286
2015,3,28.75,32.29,35.05,31.94,33.31,30.88,35.57,36.41,35.07,30.26,18.11,23.74,16.17,38.32,25.13548387
2015,4,35.43,38.28,42.26,37.68,37.34,36.6,37.71,38.45,36.9,32.02,19.44,25.05,17.37,38.45,33.95333333
2015,5,36.17,38.45,42.96,32.49,32.79,33.63,35.27,36.12,34.82,30.01,17.92,23.56,16,39.06,24.12258065
2015,6,40.91,41.8,48.73,38.14,38.11,27.33,30.99,32.02,31.15,26.48,15.25,20.94,13.6,40.12,35.90666667
2015,7,45.99,46.29,55.33,45.47,43.96,24.02,29.52,30.62,29.9,25.27,14.33,20.04,12.78,41.54,44.60322581
2015,8,45.99,48.01,52.69,48.31,46.3,24.24,27.9,29.07,28.51,23.93,13.31,19.05,11.87,40.74,49.02580645
2015,9,26.61,23.28,32.43,27.61,29.01,6.63,11.9,13.77,14.82,10.72,3.32,9.27,2.89,35.44,25.08666667
